tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles
Vocab_SRA_SRA_analysis_filetype,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_dataset_type,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_instrument_model,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_source,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_study_type,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_analysis_type,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_category,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_consent_type,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_pathologylab,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_sequencing_provider,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_syndrome,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_topography,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_workflow_input_tag,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_dac,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_file,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_individual,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_policy,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_study,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_environment,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflowfile,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_analysis_type,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_selection,,,,,,,,,,,,,,,,,TrecodeEMX1
data_store_file,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_collection,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_protocol,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_storage_conditions,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_tumor_type,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_informed_consent,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_treatment,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_release_version,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflowexternal,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_experiment_type,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_barcode,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_software_version,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflow,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_strategy,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_pdxhost,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflowinstance,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflowsoftware,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_genome_version,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflowcompute,,,,,,,,,,,,,,,,,TrecodeEMX1
fixed_genomics_resource,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_library,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_primary_qa,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_ensemblvep_annotation,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflowparameter,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_assay,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileLuminex,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_ensemblvep_plugin,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_librarypool,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflowresource,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_experiment,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_run,,,,,,,,,,,,,,,,,TrecodeEMX1
pipeline_workflowrun,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_analysis,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_panelofnormals,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_dataset,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_submission,,,,,,,,,,,,,,,,,TrecodeEMX1
genomics_mappings,,,,,,,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_analysis_filetype,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_analysis_filetype,,,description,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_analysis_filetype,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_analysis_type,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_analysis_type,,,description,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_analysis_type,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_dataset_type,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_dataset_type,,,description,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_dataset_type,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_experiment_type,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_experiment_type,,,description,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_experiment_type,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_instrument_model,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_instrument_model,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_instrument_model,,,platform_type,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_instrument_model,,,ref,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_selection,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_selection,,,description,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_selection,,,ref,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_source,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_source,,,description,,,true,,,,,,,,,,,TrecodeEMX1
