"id","name","extra_gene","synonyms","url"
"ATF1","activating transcription factor 1","ATF1","466,ATF1,ENSG00000123268,P18846","https://www.ncbi.nlm.nih.gov/gene/?term=466"
"RB1","retinoblastoma gene","RB1","5925,ENSG00000139687,OSRC,P06400,RB1","https://www.ncbi.nlm.nih.gov/gene/?term=5925"
"RPL5","ribososomal protein L5","RPL5","6083,ENSG00000122406,P46777,RPL5","https://www.ncbi.nlm.nih.gov/gene/?term=6125"
"CHIC2","cysteine-rich hydrophobic domain 2","CHIC2","26511,CHIC2,ENSG00000109220,Q9UKJ5","https://www.ncbi.nlm.nih.gov/gene/?term=26511"
"MAML2","mastermind-like 2 (Drosophila)","MAML2","84441,ENSG00000184384,MAML2,Q8IZL2","https://www.ncbi.nlm.nih.gov/gene/?term=84441"
"TFRC","transferrin receptor (p90, CD71)","TFRC","7037,ENSG00000072274,P02786,TFRC","https://www.ncbi.nlm.nih.gov/gene/?term=7037"
"TRRAP","transformation/transcription domain-associated protein","TRRAP","8295,ENSG00000196367,Q9Y4A5,TRRAP","https://www.ncbi.nlm.nih.gov/gene/?term=8295"
"ARAF","A-Raf proto-oncogene, serine/threonine kinase","ARAF","369,ARAF,ARAF1,ENSG00000078061,P10398","https://www.ncbi.nlm.nih.gov/gene/?term=369"
"SOX21","SRY-box 21","SOX21","11166,ENSG00000125285,Q9Y651,SOX21","https://www.ncbi.nlm.nih.gov/gene/?term=11166"
"ELK4","ELK4, ETS-domain protein (SRF accessory protein 1)","ELK4","2005,ELK4,ENSG00000158711,P28324","https://www.ncbi.nlm.nih.gov/gene/?term=2005"
"PREX2","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2","PREX2","80243,DEPDC2,ENSG00000046889,PREX2,Q70Z35","https://www.ncbi.nlm.nih.gov/gene/?term=80243"
"HOXA9","homeo box A9","HOXA9","3205,ENSG00000078399,HOX1,HOX1G,HOXA9,P31269","https://www.ncbi.nlm.nih.gov/gene/?term=3205"
"TFG","TRK-fused gene","TFG","10342,ENSG00000114354,Q92734,TFG","https://www.ncbi.nlm.nih.gov/gene/?term=10342"
"CLP1","cleavage and polyadenylation factor I subunit 1","CLP1","10978,CLP1,ENSG00000172409,Q92989","https://www.ncbi.nlm.nih.gov/gene/?term=10978"
"AKT2","v-akt murine thymoma viral oncogene homolog 2","AKT2","208,AKT2,ENSG00000105221,P31751","https://www.ncbi.nlm.nih.gov/gene/?term=208"
"CREB3L1","cAMP responsive element binding protein 3-like 1","CREB3L1","90993,CREB3L1,ENSG00000157613,Q96BA8","https://www.ncbi.nlm.nih.gov/gene/?term=90993"
"MYC","v-myc myelocytomatosis viral oncogene homolog (avian)","MYC","4609,ENSG00000136997,MYC,P01106","https://www.ncbi.nlm.nih.gov/gene/?term=4609"
"AKT3","v-akt murine thymoma viral oncogene homolog 3","AKT3","10000,AKT3,ENSG00000117020,Q9Y243","https://www.ncbi.nlm.nih.gov/gene/?term=10000"
"CREB3L2","cAMP responsive element binding protein 3-like 2","CREB3L2","64764,CREB3L2,ENSG00000182158,Q70SY1","https://www.ncbi.nlm.nih.gov/gene/?term=64764"
"MYB","v-myb myeloblastosis viral oncogene homolog","MYB","4602,ENSG00000118513,MYB,P10242","https://www.ncbi.nlm.nih.gov/gene/?term=4602"
"AKT1","v-akt murine thymoma viral oncogene homolog 1","AKT1","207,AKT1,ENSG00000142208,P31749","https://www.ncbi.nlm.nih.gov/gene/?term=207"
"PWWP2A","PWWP domain containing 2A","PWWP2A","114825,ENSG00000170234,PWWP2A,Q96N64","https://www.ncbi.nlm.nih.gov/gene/?term=114825"
"PRKACA","protein kinase cAMP-activated catalytic subunit alpha","PRKACA","5566,ENSG00000072062,P17612,PRKACA","https://www.ncbi.nlm.nih.gov/gene/?term=5566"
"MNX1","motor neuron and pancreas homeobox 1","MNX1","3110,ENSG00000130675,HLXB9,MNX1,P50219","https://www.ncbi.nlm.nih.gov/gene/?term=3110"
"NUP214","nucleoporin 214kDa (CAN)","NUP214","8021,ENSG00000126883,NUP214,P35658","https://www.ncbi.nlm.nih.gov/gene/?term=8021"
"DAXX","death-domain associated protein","DAXX","1616,DAXX,ENSG00000204209,Q9UER7","https://www.ncbi.nlm.nih.gov/gene/?term=1616"
"FNBP1","formin binding protein 1 (FBP17)","FNBP1","23048,ENSG00000187239,FNBP1","https://www.ncbi.nlm.nih.gov/gene/?term=23048"
"PRKCB","protein kinase C beta","PRKCB","5579,ENSG00000166501,P05771,PKCB,PRKCB,PRKCB1,PRKCB2","https://www.ncbi.nlm.nih.gov/gene/?term=5579"
"RPL22","ribosomal protein L22 (EAP)","RPL22","6146,ENSG00000116251,P35268,RPL22","https://www.ncbi.nlm.nih.gov/gene/?term=6146"
"DDX10","DEAD (Asp-Glu-Ala-Asp) box polypeptide 10","DDX10","1662,DDX10,ENSG00000178105,Q13206","https://www.ncbi.nlm.nih.gov/gene/?term=1662"
"DICER1","dicer 1, ribonuclease type III","DICER1","23405,DICER1,ENSG00000100697,MNG1,Q9UPY3","https://www.ncbi.nlm.nih.gov/gene/?term=23405"
"KNSTRN","kinetochore localized astrin/SPAG5 binding protein","KNSTRN","90417,C15orf23,ENSG00000128944,KNSTRN,Q9Y448","https://www.ncbi.nlm.nih.gov/gene/?term=90417"
"SND1","staphylococcal nuclease and tudor domain containing 1","SND1","27044,ENSG00000197157,Q7KZF4,SND1","https://www.ncbi.nlm.nih.gov/gene/?term=27044"
"BCR","breakpoint cluster region","BCR","613,BCR,BCR1,D22S11,ENSG00000186716,P11274","https://www.ncbi.nlm.nih.gov/gene/?term=613"
"CNBD1","cyclic nucleotide binding domain containing 1","CNBD1","168975,CNBD1,ENSG00000176571,Q8NA66","https://www.ncbi.nlm.nih.gov/gene/?term=168975"
"EML4","echinoderm microtubule associated protein like 4","EML4","27436,C2orf2,EML4,ENSG00000143924,Q9HC35","https://www.ncbi.nlm.nih.gov/gene/?term=27436"
"AR","Androgen Receptor","AR","367,AR,DHTR,ENSG00000169083,SBMA","https://www.ncbi.nlm.nih.gov/gene/?term=367"
"EWSR1","Ewing sarcoma breakpoint region 1 (EWS)","EWSR1","2130,ENSG00000182944,EWSR1,Q01844","https://www.ncbi.nlm.nih.gov/gene/?term=2130"
"PRKAR1A","protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)","PRKAR1A","5573,ENSG00000108946,P10644,PRKAR1,PRKAR1A,TSE1","https://www.ncbi.nlm.nih.gov/gene/?term=5573"
"DDIT3","DNA-damage-inducible transcript 3","DDIT3","1649,DDIT3,ENSG00000175197,P35638","https://www.ncbi.nlm.nih.gov/gene/?term=1649"
"NUP98","nucleoporin 98kDa","NUP98","4928,ENSG00000110713,NUP98,P52948","https://www.ncbi.nlm.nih.gov/gene/?term=4928"
"ZNF278","zinc finger protein 278 (ZSG)","ZNF278","23598,ENSG00000100105,PATZ1,Q9HBE1,ZNF278","https://www.ncbi.nlm.nih.gov/gene/?term=23598"
"SET","SET translocation","SET","6418,ENSG00000119335,Q01105,SET","https://www.ncbi.nlm.nih.gov/gene/?term=6418"
"RPN1","ribophorin I","RPN1","6184,ENSG00000163902,P04843,RPN1","https://www.ncbi.nlm.nih.gov/gene/?term=6184"
"PDGFB","platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)","PDGFB","5155,ENSG00000100311,P01127,PDGFB,SIS","https://www.ncbi.nlm.nih.gov/gene/?term=5155"
"XPA","xeroderma pigmentosum, complementation group A","XPA","7507,ENSG00000136936,P23025,XPA","https://www.ncbi.nlm.nih.gov/gene/?term=7507"
"XPC","xeroderma pigmentosum, complementation group C","XPC","7508,ENSG00000154767,Q01831,XPC","https://www.ncbi.nlm.nih.gov/gene/?term=7508"
"BCL10","B-cell CLL/lymphoma 10","BCL10","8915,BCL10,ENSG00000142867,O95999","https://www.ncbi.nlm.nih.gov/gene/?term=8915"
