"id","genome","chrband","tumorGermline","tumorSomatic","syndrome","tissueType"
"ATF1","12:50780147-50819780","12q13","malignant melanoma of soft parts, angiomatoid fibrous histiocytoma","","","E,M"
"RB1","13:48303913-48480071","13q14","retinoblastoma, sarcoma, breast, small cell lung carcinoma","retinoblastoma, sarcoma, breast, small cell lung carcinoma","familial retinoblastoma","L,E,M,O"
"RPL5","1:92832115-92841865","1p22.1","T-ALL","","","L"
"CHIC2","4:54010095-54064300","4q11-q12","AML","","","L"
"MAML2","11:95978948-96341895","11q22-q23","salivary gland mucoepidermoid","","","E"
"TFRC","3:196051942-196077099","3q29","NHL","","","L"
"TRRAP","7:98881151-99012355","7q21.2-q22.1","melanoma","","","E"
"ARAF","X:47562968-47571457","Xp11.3","cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis","","","E,L"
"SOX21","13:94711219-94712049","13q32.1","multiple myeloma","","","L"
"ELK4","1:205616546-205623882","1q32","prostate","","","E"
"PREX2","8:67952395-68231378","8q13.2","melanoma, pancreatic ductal adenocarcinoma","","","E"
"HOXA9","7:27163603-27165457","7p15-p14.2","AML*","","","L"
"TFG","3:100713687-100748532","3q11-q12","papillary thyroid, ALCL, NSCLC, extraskeletal myxoid chondrosarcoma","","","E,L,M"
"CLP1","11:57659477-57661436","11q12","AML","","","L"
"AKT2","19:40233872-40265267","19q13.1-q13.2","ovarian, pancreatic","","","E"
"CREB3L1","11:46278112-46320746","11p11.2","myxofibrosarcoma","","","M"
"MYC","8:127738263-127740958","8q24.12-q24.13","Burkitt lymphoma, amplified in other cancers, B-CLL","","","L,E"
"AKT3","1:243505249-243843170","1q43-q44","GBM","","","O"
"CREB3L2","7:137880476-138001705","7q34","fibromyxoid sarcoma","","","M"
"MYB","6:135181514-135217980","6q22-23","adenoid cystic carcinoma","","","E"
"AKT1","14:104770341-104792643","14q32.32","breast, colorectal, ovarian, NSCLC","","","E"
"PWWP2A","5:160078155-160119388","5q33.3","Spitzoid tumour","","","E"
"PRKACA","19:14093112-14117547","19p13.1","fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma","","","E"
"MNX1","7:157005520-157010350","7q36","AML","","","L"
"NUP214","9:131125705-131233487","9q34.1","AML, T-ALL","","","L"
"DAXX","6:33318743-33321925","6p21.3","pancreatic neuroendocrine tumour, paediatric glioblastoma","","","E"
"FNBP1","9:129890539-130042975","9q23","AML","","","L"
"PRKCB","16:23836176-24214816","16p12.2-p12.1","adult T-cell lymphoma-leukaemia","","","L"
"RPL22","1:6186672-6199573","1p36.31","AML, CML","","","L"
"DDX10","11:108665154-108940423","11q22-q23","AML*","","","L"
"DICER1","14:95090498-95133458","14q32.13","sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types","pleuropulmonary blastoma","familial pleuropulmonary blastoma or DICER1 syndrome","E,M,O"
"KNSTRN","15:40382836-40393597","15q15.1","SCC","","","E"
"SND1","7:127652374-128092058","7q31.3","pancreas acinar carcinoma","","","E"
"BCR","22:23180961-23315522","22q11.21","CML, ALL, AML","","","L"
"CNBD1","8:86866496-87382627","8q21.3","gastric cancer, colon cancer","","","E"
"EML4","2:42169613-42330208","2p21","NSCLC","","","E"
"AR","X:67545147-67723841","Xq12","prostate","","","E"
"EWSR1","22:29268337-29300161","22q12","Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma","","","L,M,E"
"PRKAR1A","17:68515400-68530449","17q23-q24","papillary thyroid","myxoma, endocrine, papillary thyroid","Carney complex","E,M"
"DDIT3","12:57516809-57517406","12q13.1-q13.2","liposarcoma","","","M"
"NUP98","11:3676159-3782117","11p15","AML","","","L"
"ZNF278","22:31326891-31345602","22q12-q14","Ewing sarcoma","","","M"
"SET","9:128689583-128694664","9q34","T-ALL","","","L"
"RPN1","3:128620411-128650800","3q21.3-q25.2","AML","","","L"
"PDGFB","22:39225723-39243963","22q12.3-q13.1","DFSP","","","M"
"XPA","9:97675439-97697292","9q22.3","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (A)","E"
"XPC","3:14145941-14178568","3p25","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (C)","E"
